stock_symbol,current_price,volume,open_price,percentage_change,last_updated
NETWEB,3182.5,9811693,2647.7,20.0,2025-10-08 15:24:37
GMDCLTD,508.0,34448673,455.2,11.6,2025-10-08 15:24:38
IDEA,7.25,1719413311,6.64,9.68,2025-10-08 15:24:39
SKFINDIA,4878.0,467715,4700.0,6.05,2025-10-08 15:24:39
GODFRYPHLP,11058.0,984110,10500.0,5.79,2025-10-08 15:24:40
RTNINDIA,62.0,36498935,59.14,5.21,2025-10-08 15:24:40
JPPOWER,19.07,64484330,18.44,4.95,2025-10-08 15:24:41
BSE,2323.0,7981732,2229.0,4.66,2025-10-08 15:24:42
SCHNEIDER,887.05,95046,858.35,4.48,2025-10-08 15:24:42
NIVABUPA,84.75,9616985,82.26,4.29,2025-10-08 15:24:43
RBLBANK,277.0,26498078,265.8,4.21,2025-10-08 15:24:43
INDUSTOWER,337.0,17007563,325.55,4.0,2025-10-08 15:24:44
ABFRL,86.0,12534935,83.33,3.76,2025-10-08 15:24:45
BEML,4089.0,519369,3950.0,3.47,2025-10-08 15:24:46
APTUS,339.4,3652920,334.0,3.26,2025-10-08 15:24:47
GLENMARK,2054.2,977419,1990.9,3.18,2025-10-08 15:24:48
CUB,200.05,2110513,194.9,3.09,2025-10-08 15:24:49
KFINTECH,1088.4,1053785,1058.0,2.87,2025-10-08 15:24:50
CLEAN,1188.0,1178757,1159.0,2.81,2025-10-08 15:24:51
NATIONALUM,212.43,9198908,207.0,2.79,2025-10-08 15:24:51
ASHOKLEY,131.44,19576052,128.24,2.68,2025-10-08 15:24:52
GODREJAGRO,750.0,232636,731.95,2.68,2025-10-08 15:24:52
MSUMI,45.31,19433639,44.43,2.63,2025-10-08 15:24:53
ASTRAL,1457.7,989366,1432.0,2.56,2025-10-08 15:24:54
GRAVITA,1699.0,311069,1657.8,2.49,2025-10-08 15:24:54
CENTURYPLY,807.7,106088,788.2,2.47,2025-10-08 15:24:55
LEMONTREE,175.15,9295950,170.95,2.46,2025-10-08 15:24:55
RENUKA,32.16,12430846,31.38,2.45,2025-10-08 15:24:56
