stock_symbol,company_name,industry,exchange
NETWEB,Netweb Technologies India Limited,Computer Hardware,NSE
GMDCLTD,Gujarat Mineral Development Corporation Limited,Thermal Coal,NSE
IDEA,Vodafone Idea Limited,Telecom Services,NSE
SKFINDIA,SKF India Limited,Tools & Accessories,NSE
GODFRYPHLP,Godfrey Phillips India Limited,Tobacco,NSE
RTNINDIA,RattanIndia Enterprises Limited,Internet Retail,NSE
JPPOWER,Jaiprakash Power Ventures Limited,Utilities - Independent Power Producers,NSE
BSE,BSE Limited,Financial Data & Stock Exchanges,NSE
SCHNEIDER,Schneider Electric Infrastructure Limited,Electrical Equipment & Parts,NSE
NIVABUPA,Niva Bupa Health Insurance Company Limited,Insurance - Life,NSE
RBLBANK,RBL Bank Limited,Banks - Regional,NSE
INDUSTOWER,Indus Towers Limited,Telecom Services,NSE
ABFRL,Aditya Birla Fashion and Retail Limited,Apparel Manufacturing,NSE
BEML,BEML Limited,Conglomerates,NSE
APTUS,Aptus Value Housing Finance India Limited,Mortgage Finance,NSE
GLENMARK,Glenmark Pharmaceuticals Limited,Drug Manufacturers - Specialty & Generic,NSE
CUB,City Union Bank Limited,Banks - Regional,NSE
KFINTECH,KFin Technologies Limited,Software - Application,NSE
CLEAN,Clean Science and Technology Limited,Specialty Chemicals,NSE
NATIONALUM,National Aluminium Company Limited,Aluminum,NSE
ASHOKLEY,Ashok Leyland Limited,Farm & Heavy Construction Machinery,NSE
GODREJAGRO,Godrej Agrovet Limited,Packaged Foods,NSE
MSUMI,Motherson Sumi Wiring India Limited,Auto Parts,NSE
ASTRAL,Astral Limited,Building Products & Equipment,NSE
GRAVITA,Gravita India Limited,Metal Fabrication,NSE
CENTURYPLY,Century Plyboards (India) Limited,Lumber & Wood Production,NSE
LEMONTREE,Lemon Tree Hotels Limited,Lodging,NSE
RENUKA,Shree Renuka Sugars Limited,Confectioners,NSE
M&MFIN,Mahindra & Mahindra Financial Services Limited,Credit Services,NSE
EICHERMOT,Eicher Motors Limited,Auto Manufacturers,NSE
M&M,Mahindra & Mahindra Limited,Auto Manufacturers,NSE
VEDL,Vedanta Limited,Other Industrial Metals & Mining,NSE
MMTC,MMTC Limited,Conglomerates,NSE
VOLTAS,Voltas Limited,"Furnishings, Fixtures & Appliances",NSE
CHOLAFIN,Cholamandalam Investment and Finance Company Limited,Credit Services,NSE
PNCINFRA,PNC Infratech Limited,Engineering & Construction,NSE
GODREJIND,Godrej Industries Limited,Conglomerates,NSE
CAMPUS,Campus Activewear Limited,Footwear & Accessories,NSE
CAMS,Computer Age Management Services Limited,Information Technology Services,NSE
